sandbox_extension_issue_file_to_process failed for /tmp/lsh-godot-4.6.3-20260924/editor/Godot.app: 1 (Operation not permitted)
Godot Engine v4.6.3.stable.official.7d41c59c4 - https://godotengine.org
OpenGL API 4.1 Metal - 91.7 - Compatibility - Using Device: Apple - Apple M4 Max

WARNING: 2D MSAA is not yet supported for GLES3.
     at: render_target_set_msaa (drivers/gles3/storage/texture_storage.cpp:2934)
[rts-touch-ui] lenovo_y900_13_2026_safe_auto_aiming PASS
[rts-touch-ui] lenovo_y900_13_2026_safe_approaching PASS
[rts-touch-ui] lenovo_y900_13_2026_safe_casting PASS
[rts-touch-ui] lenovo_y900_13_2026_safe_controlled PASS
[rts-touch-ui] lenovo_y900_13_2026_safe_stats PASS
[rts-touch-ui] lenovo_y900_13_2026_safe_dead PASS
[rts-touch-ui] lenovo_y900_13_2026_safe_idle PASS
[rts-touch-ui] tablet_13_16x10_plain_selected PASS
[rts-touch-ui] tablet_13_16x10_plain_toast PASS
[rts-touch-ui] tablet_13_16x10_plain_info PASS
[rts-touch-ui] tablet_13_16x10_plain_inventory PASS
[rts-touch-ui] tablet_13_16x10_plain_both PASS
[rts-touch-ui] tablet_13_16x10_plain_aiming PASS
[rts-touch-ui] tablet_13_16x10_plain_auto_aiming PASS
[rts-touch-ui] tablet_13_16x10_plain_approaching PASS
[rts-touch-ui] tablet_13_16x10_plain_casting PASS
[rts-touch-ui] tablet_13_16x10_plain_controlled PASS
[rts-touch-ui] tablet_13_16x10_plain_stats PASS
[rts-touch-ui] tablet_13_16x10_plain_dead PASS
[rts-touch-ui] tablet_13_16x10_plain_idle PASS
[rts-touch-ui] tablet_13_16x10_safe_selected PASS
[rts-touch-ui] tablet_13_16x10_safe_toast PASS
[rts-touch-ui] tablet_13_16x10_safe_info PASS
[rts-touch-ui] tablet_13_16x10_safe_inventory PASS
[rts-touch-ui] tablet_13_16x10_safe_both PASS
[rts-touch-ui] tablet_13_16x10_safe_aiming PASS
[rts-touch-ui] tablet_13_16x10_safe_auto_aiming PASS
[rts-touch-ui] tablet_13_16x10_safe_approaching PASS
[rts-touch-ui] tablet_13_16x10_safe_casting PASS
[rts-touch-ui] tablet_13_16x10_safe_controlled PASS
[rts-touch-ui] tablet_13_16x10_safe_stats PASS
[rts-touch-ui] tablet_13_16x10_safe_dead PASS
[rts-touch-ui] tablet_13_16x10_safe_idle PASS
[rts-touch-ui] fold_4x3_plain_selected PASS
[rts-touch-ui] fold_4x3_plain_toast PASS
[rts-touch-ui] fold_4x3_plain_info PASS
[rts-touch-ui] fold_4x3_plain_inventory PASS
[rts-touch-ui] fold_4x3_plain_both PASS
[rts-touch-ui] fold_4x3_plain_aiming PASS
[rts-touch-ui] fold_4x3_plain_auto_aiming PASS
[rts-touch-ui] fold_4x3_plain_approaching PASS
[rts-touch-ui] fold_4x3_plain_casting PASS
[rts-touch-ui] fold_4x3_plain_controlled PASS
[rts-touch-ui] fold_4x3_plain_stats PASS
[rts-touch-ui] fold_4x3_plain_dead PASS
[rts-touch-ui] fold_4x3_plain_idle PASS
[rts-touch-ui] fold_4x3_safe_selected PASS
[rts-touch-ui] fold_4x3_safe_toast PASS
[rts-touch-ui] fold_4x3_safe_info PASS
[rts-touch-ui] fold_4x3_safe_inventory PASS
[rts-touch-ui] fold_4x3_safe_both PASS
[rts-touch-ui] fold_4x3_safe_aiming PASS
[rts-touch-ui] fold_4x3_safe_auto_aiming PASS
[rts-touch-ui] fold_4x3_safe_approaching PASS
[rts-touch-ui] fold_4x3_safe_casting PASS
[rts-touch-ui] fold_4x3_safe_controlled PASS
[rts-touch-ui] fold_4x3_safe_stats PASS
[rts-touch-ui] fold_4x3_safe_dead PASS
[rts-touch-ui] fold_4x3_safe_idle PASS
[rts-touch-ui] economy_zh_CN_worker PASS
[rts-touch-ui] economy_zh_CN_age_locked_train PASS
[rts-touch-ui] economy_zh_CN_train_tooltip PASS
[rts-touch-ui] economy_zh_CN_auto_aiming PASS
[rts-touch-ui] economy_zh_TW_worker PASS
[rts-touch-ui] economy_zh_TW_age_locked_train PASS
[rts-touch-ui] economy_zh_TW_train_tooltip PASS
[rts-touch-ui] economy_zh_TW_auto_aiming PASS
[rts-touch-ui] economy_en_worker PASS
[rts-touch-ui] economy_en_age_locked_train PASS
[rts-touch-ui] economy_en_train_tooltip PASS
[rts-touch-ui] economy_en_auto_aiming PASS
[rts-touch-ui] economy_ja_worker PASS
[rts-touch-ui] economy_ja_age_locked_train PASS
[rts-touch-ui] economy_ja_train_tooltip PASS
[rts-touch-ui] economy_ja_auto_aiming PASS
[rts-touch-ui] DONE samples=173 failures=0
